#t:   	x:        	y:        	z:        
3.300	-0.00244141	-0.00805664	0.00012207
3.325	-0.00244141	-0.00808716	0.00012207
3.350	-0.00253296	-0.00814819	0.00024414
3.375	-0.00253296	-0.00811768	0.00015259
3.400	-0.00253296	-0.00808716	0.00018311
3.425	-0.00259399	-0.00808716	0.00012207
3.450	-0.00253296	-0.00808716	0.00018311
3.475	-0.00247192	-0.00808716	0.00015259
3.500	-0.00244141	-0.00811768	0.00012207
3.525	-0.00244141	-0.00811768	0.00018311
3.550	-0.00247192	-0.00811768	0.00015259
3.575	-0.00247192	-0.00805664	0.00018311
3.600	-0.00256348	-0.00805664	0.00009155
3.625	-0.00259399	-0.00802612	0.00018311
3.650	-0.00256348	-0.00811768	0.00018311
3.675	-0.00247192	-0.00805664	0.00018311
3.700	-0.00250244	-0.00811768	0.00012207
3.725	-0.00241089	-0.00808716	0.00009155
3.750	-0.00244141	-0.00811768	0.00018311
3.775	-0.00244141	-0.00808716	0.00021362
3.800	-0.00250244	-0.00805664	0.00024414
3.825	-0.00256348	-0.00808716	0.00018311
3.850	-0.00253296	-0.00811768	0.00012207
3.875	-0.00253296	-0.00811768	0.00018311
3.900	-0.00256348	-0.00814819	0.00012207
3.925	-0.00247192	-0.00811768	0.00015259
3.950	-0.00241089	-0.00808716	0.00015259
3.975	-0.00244141	-0.00805664	0.00015259
4.000	-0.00238037	-0.00808716	0.00021362
4.025	-0.00247192	-0.00808716	0.00012207
4.050	-0.00256348	-0.00808716	0.00015259
4.075	-0.00256348	-0.00811768	0.00024414
4.100	-0.00256348	-0.00811768	0.00021362
4.125	-0.00250244	-0.00811768	0.00015259
4.150	-0.00244141	-0.00808716	0.00009155
4.175	-0.00238037	-0.00634766	0.00048828
4.200	-0.00219727	-0.00897217	0.00009155
4.225	-0.00259399	-0.00891113	0.00003052
4.250	-0.00253296	-0.00848389	0.00036621
4.275	-0.00256348	-0.00765991	0.00009155
4.300	-0.00253296	-0.00744629	0.00042725
4.325	-0.00247192	-0.00747681	0.00018311
4.350	-0.00250244	-0.00793457	0.00021362
4.375	-0.00238037	-0.00851440	0.00006104
4.400	-0.00244141	-0.00405884	0.00079346
4.425	-0.00222778	-0.01004028	0.00009155
4.450	-0.00256348	-0.01019287	-0.00009155
4.475	-0.00277710	-0.00869751	0.00054932
4.500	-0.00241089	-0.00802612	0.00021362
4.525	-0.00238037	-0.00698853	0.00039673
4.550	-0.00231934	-0.00683594	0.00024414
4.575	-0.00241089	-0.00729370	0.00012207
4.600	-0.00177002	-0.00811768	0.00057983
4.625	-0.00201416	-0.00854492	0.00051880
4.650	-0.00299072	-0.01068115	0.00042725
4.675	-0.00296021	-0.00903320	0.00070190
4.700	-0.00231934	-0.00851440	0.00094604
4.725	-0.00250244	-0.00784302	0.00036621
4.750	-0.00234985	-0.00772095	0.00067139
4.775	-0.00228882	-0.00732422	0.00015259
4.800	-0.00210571	-0.00564575	0.00085449
4.825	-0.00173950	-0.00677490	0.00006104
4.850	-0.00213623	-0.00836182	0.00054932
4.875	-0.00234985	-0.01049805	0.00076294
4.900	-0.00283813	-0.01022339	0.00064087
4.925	-0.00283813	-0.00885010	0.00094604
4.950	-0.00265503	-0.00830078	0.00045776
4.975	-0.00228882	-0.00704956	0.00112915
5.000	-0.00173950	-0.00592041	0.00006104
5.025	-0.00192261	-0.00588989	0.00097656
5.050	-0.00155640	-0.00778198	0.00085449
5.075	-0.00195312	-0.00958252	0.00064087
5.100	-0.00308228	-0.01049805	0.00112915
5.125	-0.00308228	-0.01086426	0.00103760
5.150	-0.00259399	-0.00881958	0.00082397
5.175	-0.00268555	-0.00726318	0.00140381
